feature,importance
pca_resume_0,14.749602236905062
experience_gap,6.052418237777495
cs_skill_count,4.187985578920701
experience_years,4.162466845007382
just_missing_skill_count,3.8873525924965877
pca_resume_1,3.5423520758011318
bert_sim_score,2.9853897011618034
pca_jd_7,2.4775484702538586
pca_jd_13,2.3226914211979777
pca_resume_12,2.3046484501923308
pca_jd_16,2.021206726867987
pca_resume_3,1.8994204725590649
pca_resume_9,1.8284342988066258
pca_resume_11,1.8228310461207058
pca_jd_21,1.722962829280107
micro_match_weight,1.698448785582186
pca_jd_8,1.5937767364452093
pca_resume_23,1.4635264499586038
pca_resume_2,1.4559520599744138
pca_resume_4,1.454032567480195
pca_resume_19,1.3351023190935611
pca_jd_27,1.30501332790174
pca_resume_5,1.282308374797651
pca_resume_15,1.2803565459543822
pca_resume_28,1.2449058274746034
pca_resume_17,1.2056268021589502
tier_encoded,1.1934633681976266
pca_resume_13,1.184061493556786
pca_resume_29,1.1766393179552244
required_experience_years,1.0970934799023246
pca_resume_30,1.087847959559234
pca_jd_25,1.0807988464655205
pca_resume_14,1.05937960358228
pca_resume_6,0.9614316256630392
pca_resume_7,0.8786341705926386
pca_jd_6,0.8612091602064564
pca_jd_4,0.8590957123857622
pca_jd_24,0.8184594408360384
pca_jd_3,0.712211521952772
pca_jd_29,0.7005729338540515
pca_resume_25,0.6986429924855283
pca_jd_9,0.6934474917448511
pca_jd_0,0.6853196741541526
pca_jd_10,0.6676430198898106
pca_jd_17,0.656528369641138
pca_resume_10,0.6263097787759707
pca_jd_22,0.6188809013155705
pca_jd_18,0.6180457330014401
pca_jd_1,0.5979474960816723
pca_jd_11,0.5952486096112367
pca_jd_26,0.5360952180138275
pca_resume_21,0.533184035440594
pca_jd_20,0.5093185400228223
pca_resume_20,0.47713426371899087
pca_resume_24,0.4660270903934247
pca_resume_22,0.45934613062773494
pca_jd_2,0.4257244229835244
pca_resume_27,0.4118981761188148
pca_resume_31,0.4084438357621427
num_skills,0.40665902656628194
pca_resume_18,0.39937881396208935
pca_resume_16,0.384468285750684
pca_jd_28,0.37819202286851433
pca_resume_8,0.3776265954701127
pca_jd_19,0.33158248750418545
pca_jd_12,0.29716985085512215
pca_jd_14,0.2954128155551871
pca_resume_26,0.27774076931822944
pca_jd_5,0.25514032083762
pca_jd_15,0.2515267838157502
pca_jd_31,0.18178559602815272
just_exp_penalty,0.13054666432321108
pca_jd_30,0.12723087212283332
pca_jd_23,0.11833021111437637
education_level,0.08463865856639388
data_skill_count,0.057955270490180136
just_domain_penalty,0.002169760187743686
